Om,normR,smin,smax,cond,stepnorm
1.6000000000000001e+00,6.0484318104551407e-05,7.8052819685571839e-01,1.1019657519785412e+01,1.4118205548725882e+01,7.3630409008763298e-05
1.6000000000000001e+00,7.5691820682549947e-11,7.8052757805661543e-01,1.1019656448634562e+01,1.4118215369239975e+01,9.1396359454459595e-11
1.5902688825320423e+00,3.0368849862304735e-05,7.6499322238265555e-01,1.0879914558477743e+01,1.4222236537718665e+01,3.9751936495349584e-05
1.5805557953073432e+00,6.1524987364535620e-05,7.4958126276417258e-01,1.0741279320349673e+01,1.4329706269257441e+01,8.2197178836039306e-05
1.5611685347771236e+00,1.8894387348992794e-04,7.1909928266268830e-01,1.0467097493327394e+01,1.4555844715307900e+01,2.6317755857007812e-04
1.5612308748218360e+00,2.3361548318770115e-08,7.1919425416881455e-01,1.0467968975893973e+01,1.4555134325971483e+01,3.2533767973414552e-08
1.5226345172208580e+00,5.3356026743064933e-04,6.5961823381967555e-01,9.9321481428937393e+00,1.5057419024606528e+01,8.1058234078273570e-04
1.5228375407928538e+00,2.2524888286015511e-07,6.5991959237511943e-01,9.9349154547040044e+00,1.5054736318628164e+01,3.4202367066639625e-07
1.4751533889677644e+00,9.2360910664071561e-04,5.8833733968487345e-01,9.2912882368841725e+00,1.5792450368458329e+01,1.5744459011835146e-03
1.4755961963563788e+00,8.9985617473485593e-07,5.8897414008376636e-01,9.2971360955299769e+00,1.5785304417962561e+01,1.5322595204454098e-06
1.4289199454632022e+00,1.0537425874723339e-03,5.2104109041908375e-01,8.6866303437927339e+00,1.6671680033538053e+01,2.0308559324545648e-03
1.4295795548569159e+00,1.6030339584588175e-06,5.2196081292529517e-01,8.6950711861820427e+00,1.6658475063388543e+01,3.0840389599757244e-06
1.3844045024681035e+00,1.1941225830381552e-03,4.5819079070899527e-01,8.1224372784412484e+00,1.7727194529319874e+01,2.6221915572731094e-03
1.3853747098123452e+00,2.7559577737374057e-06,4.5950280431789031e-01,8.1344703289401927e+00,1.7702765364001252e+01,6.0346088016614911e-06
1.3423934022009734e+00,1.3292967181221403e-03,4.0058465996972936e-01,7.6060813829810225e+00,1.8987450451936390e+01,3.3488631211343925e-03
1.3437674013340417e+00,4.3600539757643181e-06,4.0238832333829760e-01,7.6226133168323491e+00,1.8943425727649242e+01,1.0934595414278402e-05
1.3038465248685671e+00,1.4327398715448141e-03,3.4912519766892652e-01,7.1459126490974114e+00,2.0468051853060004e+01,4.1607107634859478e-03
1.3056601271298680e+00,5.9824362699281540e-06,3.5144015492869263e-01,7.1671180957507037e+00,2.0393566287850390e+01,1.7254859060471072e-05
1.2696836675450720e+00,1.4737949214651913e-03,3.0454677373443456e-01,6.7487680506266203e+00,2.2160037907712528e+01,3.9437195991796556e-03
