Om,normR,smin,smax,cond,stepnorm
1.6000000000000001e+00,3.4228819527511531e-04,4.9999999999999989e-01,1.1025330341306907e+01,2.2050660682613817e+01,4.3785659193820676e-04
1.6000000000000001e+00,1.3070391759405395e-08,4.9999999999999989e-01,1.1025330341064747e+01,2.2050660682129497e+01,1.5416698768126231e-08
1.5902696307331017e+00,3.0334863702452821e-05,4.9999999999999983e-01,1.0885639278829329e+01,2.1771278557658665e+01,3.9638570097377925e-05
1.5805572609109499e+00,6.1436451832625933e-05,5.0000000000000000e-01,1.0747056383047536e+01,2.1494112766095071e+01,8.1926919815573305e-05
1.5611713476215436e+00,1.8861820945884276e-04,4.9999999999999994e-01,1.0472983044589721e+01,2.0945966089179446e+01,2.6216981117494463e-04
1.5612335208910761e+00,2.7899962138243168e-08,4.9999999999999989e-01,1.0473856628758915e+01,2.0947713257517833e+01,3.8516340411555093e-08
1.5226392741627359e+00,5.3210617788596363e-04,4.9999999999999989e-01,9.9382686571226060e+00,1.9876537314245216e+01,8.0614964062906589e-04
1.5228413673647385e+00,2.2692958083105628e-07,4.9999999999999989e-01,9.9410382713911876e+00,1.9882076542782379e+01,3.4364263893446354e-07
1.4751568173786254e+00,9.1948149549975645e-04,4.9999999999999983e-01,9.2977276377048579e+00,1.8595455275409723e+01,1.5613106497679211e-03
1.4755960497407290e+00,9.1956142782979074e-07,4.9999999999999989e-01,9.3035599231637018e+00,1.8607119846327407e+01,1.5599608269839720e-06
1.4289098351251859e+00,1.0459988336428813e-03,5.0000000000000022e-01,8.6933595746244698e+00,1.7386719149248933e+01,2.0046133288861888e-03
1.4295605307977268e+00,1.6207198181591976e-06,5.0000000000000011e-01,8.7017295283419411e+00,1.7403459056683879e+01,3.1011339208780099e-06
1.3843524472207236e+00,1.1807360226604809e-03,4.5669445218087296e-01,8.1292787952887497e+00,1.7800257385367065e+01,2.5715282263772902e-03
1.3853026901386498e+00,2.7400025435146674e-06,4.5801082572041668e-01,8.1411220643755762e+00,1.7774955540778326e+01,5.9521426563909225e-06
1.3422382746332744e+00,1.3078857197974735e-03,3.9937473343814922e-01,7.6125539051070721e+00,1.9061180559851369e+01,3.2551726254472068e-03
1.3435723647449413e+00,4.2639088722624438e-06,4.0116587139892473e-01,7.6286778611103019e+00,1.9016268344333415e+01,1.0569632981681782e-05
1.3034720143226901e+00,1.7001259635623901e-03,3.4903967986488171e-01,7.1473581248193057e+00,2.0477207999921816e+01,4.9694358858178560e-03
1.3056116804488060e+00,8.6947972268369533e-06,3.5182052210166354e-01,7.1724795580299219e+00,2.0386757188534137e+01,2.5213922497840643e-05
1.2697934674971689e+00,1.4365411964054040e-03,3.0581249663324533e-01,6.7573727566004109e+00,2.2096457244206047e+01,3.8398286830364373e-03
1.2719110609434685e+00,4.8755827768629103e-06,3.0837018695280127e-01,6.7783127192257675e+00,2.1981089631933994e+01,1.1748361857032665e-05
1.2406331238117829e+00,1.3908664607291804e-03,2.6753680103531519e-01,6.4252225965795287e+00,2.4016219718988832e+01,3.3259505697571115e-03
1.2428521892045024e+00,5.9625567107496540e-06,2.7027956606893638e-01,6.4500218656282007e+00,2.3864260104602526e+01,1.4684989171680648e-05
1.2161067019662908e+00,1.2647138860069466e-03,2.3731247768955030e-01,6.1539566409446813e+00,2.5931871348944505e+01,2.7409389572872864e-03
1.2181900828509304e+00,4.3527703538171644e-06,2.3983203843787285e-01,6.1767784010751816e+00,2.5754600766883119e+01,1.0596521238109938e-05
1.1956259439634087e+00,1.1155347745952886e-03,2.1274933857349970e-01,5.9316861012644351e+00,2.7881102432735332e+01,2.2117134319395832e-03
1.1974449209018820e+00,2.9300601753938582e-06,2.1490857649125739e-01,5.9512740643728623e+00,2.7692119884359123e+01,8.0138155748299299e-06
1.1784685909288743e+00,1.5184435788977448e-03,1.9356161219767326e-01,5.7488973297227774e+00,2.9700606770374293e+01,2.7401965296115129e-03
1.1808253937235467e+00,4.8353309269770202e-06,1.9629113223169234e-01,5.7739189031920501e+00,2.9415077683574630e+01,1.5672014770106936e-05
1.1659178445028520e+00,7.8853537330099833e-04,1.7814848364264321e-01,5.6165927441143788e+00,3.1527592204382596e+01,1.3713137581986814e-03
1.1671132208092847e+00,1.1505252427298543e-06,1.7952022794804809e-01,5.6291424884414747e+00,3.1356591693224171e+01,4.9205219873035291e-06
1.1549338597974403e+00,9.8081262398163433e-04,1.6514167904032981e-01,5.5028239129638497e+00,3.3321835801487680e+01,1.8549543097205901e-03
1.1562634693091218e+00,2.2331923281640091e-06,1.6665556942039572e-01,5.5166521787368890e+00,3.3102117126496388e+01,1.2598919148086993e-05
1.1464663429469217e+00,5.0028879561047051e-04,1.5316320778943007e-01,5.4099545075072939e+00,3.5321501720863274e+01,1.2028982346278970e-03
1.1470615504481221e+00,7.1906660290047893e-07,1.5382875326056325e-01,5.4160972383143564e+00,3.5208614277334000e+01,4.7798162423171264e-06
1.1384947637519238e+00,6.3795620917524317e-04,1.2769821189022507e-01,5.3148403061555598e+00,4.1620318933865946e+01,1.3933921221913580e-03
1.1392873165952710e+00,1.0003820007910823e-06,1.2856787629672350e-01,5.3229638146386744e+00,4.1401973556393948e+01,8.4249530479858933e-06
1.1330080756272760e+00,3.4093744862009315e-04,1.2148409408034401e-01,5.2587596661223541e+00,4.3287639471916805e+01,7.4231284489807562e-04
1.1334091466278233e+00,2.6376552490064823e-07,1.2192032717116882e-01,5.2628500360612369e+00,4.3166305063080344e+01,2.3917609937526099e-06
1.1279078680757408e+00,4.2663521200202875e-04,1.1663054622132767e-01,5.2032270894616763e+00,4.4612901662893755e+01,8.7356777895355976e-04
1.1283727082630335e+00,3.5360770223853811e-07,1.1712455174526064e-01,5.2079466809554091e+00,4.4465029776868668e+01,3.3712695625604475e-06
1.1240330039017661e+00,2.3655151163711339e-04,1.1211023589628309e-01,5.1639642934570320e+00,4.6061488071743845e+01,5.8944410935927636e-04
1.1242742836884738e+00,1.3192142919586435e-07,1.1236234423698696e-01,5.1664053179987919e+00,4.5979864100219942e+01,1.3331001163008559e-06
1.1204037959643469e+00,8.9280098469554474e-04,1.0786074003570739e-01,5.1256057412493421e+00,4.7520587560891073e+01,1.0054874418084236e-03
