Om,newton_iter,normR,stepnorm
1.6000000000000001e+00,1,6.0484318104551407e-05,7.3630409008763298e-05
1.6000000000000001e+00,2,7.5691820682549947e-11,9.1396359454459595e-11
1.5902688825320423e+00,3,3.0368849862304735e-05,3.9751936495349584e-05
1.5805557953073432e+00,4,6.1524987364535620e-05,8.2197178836039306e-05
1.5611685347771236e+00,5,1.8894387348992794e-04,2.6317755857007812e-04
1.5612308748218360e+00,6,2.3361548318770115e-08,3.2533767973414552e-08
1.5226345172208580e+00,7,5.3356026743064933e-04,8.1058234078273570e-04
1.5228375407928538e+00,8,2.2524888286015511e-07,3.4202367066639625e-07
1.4751533889677644e+00,9,9.2360910664071561e-04,1.5744459011835146e-03
1.4755961963563788e+00,10,8.9985617473485593e-07,1.5322595204454098e-06
1.4289199454632022e+00,11,1.0537425874723339e-03,2.0308559324545648e-03
1.4295795548569159e+00,12,1.6030339584588175e-06,3.0840389599757244e-06
1.3844045024681035e+00,13,1.1941225830381552e-03,2.6221915572731094e-03
1.3853747098123452e+00,14,2.7559577737374057e-06,6.0346088016614911e-06
1.3423934022009734e+00,15,1.3292967181221403e-03,3.3488631211343925e-03
1.3437674013340417e+00,16,4.3600539757643181e-06,1.0934595414278402e-05
1.3038465248685671e+00,17,1.4327398715448141e-03,4.1607107634859478e-03
1.3056601271298680e+00,18,5.9824362699281540e-06,1.7254859060471072e-05
1.2696836675450720e+00,19,1.4737949214651913e-03,3.9437195991796556e-03
1.2718476546794653e+00,20,6.7595849192291500e-06,1.7652549659237518e-05
1.2404429971731026e+00,21,1.4364598767612265e-03,3.4479436896172532e-03
1.2427455430065559e+00,22,6.1980579456800965e-06,1.4982376172915620e-05
1.2160710657213101e+00,23,1.3328417013222431e-03,2.8905734183013627e-03
1.2182799593635314e+00,24,4.7843762120368061e-06,1.1609719071687367e-05
1.1960434455158797e+00,25,1.1936256471473973e-03,2.3674010069015278e-03
1.1980073630304562e+00,26,3.3366961758972124e-06,9.2834790440615301e-06
1.1796572041111557e+00,27,1.0480549847639840e-03,1.9336497253381508e-03
1.1813245047720018e+00,28,2.2626369128988690e-06,7.9819184938306215e-06
1.1662438179939962e+00,29,9.1380447051626554e-04,1.6030467154073329e-03
1.1676275499419446e+00,30,1.5731080240724174e-06,7.1322098166341601e-06
1.1552473895440583e+00,31,7.9792460539874403e-04,1.3658129202959314e-03
1.1563875857548489e+00,32,1.1487807688517994e-06,6.4461650428274473e-06
1.1462282807452659e+00,33,7.0123515031358290e-04,1.2038943398897598e-03
1.1471696916702860e+00,34,8.8229817803775836e-07,5.8528575331185290e-06
1.1388434739540998e+00,35,6.2183370217458532e-04,1.0988901883923876e-03
1.1396261742848934e+00,36,7.0649842771982781e-07,5.3424749898058493e-06
1.1328249254571354e+00,37,5.5702455833184076e-04,1.0351789805601909e-03
1.1334817544343925e+00,38,5.8425739482903984e-07,4.9116295543185343e-06
1.1279615978788819e+00,39,5.0416977032084992e-04,1.0007304656119338e-03
