Om,newton_iter,normR,stepnorm
1.6000000000000001e+00,1,3.4228819527511531e-04,4.3785659193820676e-04
1.6000000000000001e+00,2,1.3070391759405395e-08,1.5416698768126231e-08
1.5902696307331017e+00,3,3.0334863702452821e-05,3.9638570097377925e-05
1.5805572609109499e+00,4,6.1436451832625933e-05,8.1926919815573305e-05
1.5611713476215436e+00,5,1.8861820945884276e-04,2.6216981117494463e-04
1.5612335208910761e+00,6,2.7899962138243168e-08,3.8516340411555093e-08
1.5226392741627359e+00,7,5.3210617788596363e-04,8.0614964062906589e-04
1.5228413673647385e+00,8,2.2692958083105628e-07,3.4364263893446354e-07
1.4751568173786254e+00,9,9.1948149549975645e-04,1.5613106497679211e-03
1.4755960497407290e+00,10,9.1956142782979074e-07,1.5599608269839720e-06
1.4289098351251859e+00,11,1.0459988336428813e-03,2.0046133288861888e-03
1.4295605307977268e+00,12,1.6207198181591976e-06,3.1011339208780099e-06
1.3843524472207236e+00,13,1.1807360226604809e-03,2.5715282263772902e-03
1.3853026901386498e+00,14,2.7400025435146674e-06,5.9521426563909225e-06
1.3422382746332744e+00,15,1.3078857197974735e-03,3.2551726254472068e-03
1.3435723647449413e+00,16,4.2639088722624438e-06,1.0569632981681782e-05
1.3034720143226901e+00,17,1.7001259635623901e-03,4.9694358858178560e-03
1.3056116804488060e+00,18,8.6947972268369533e-06,2.5213922497840643e-05
1.2697934674971689e+00,19,1.4365411964054040e-03,3.8398286830364373e-03
1.2719110609434685e+00,20,4.8755827768629103e-06,1.1748361857032665e-05
1.2406331238117829e+00,21,1.3908664607291804e-03,3.3259505697571115e-03
1.2428521892045024e+00,22,5.9625567107496540e-06,1.4684989171680648e-05
1.2161067019662908e+00,23,1.2647138860069466e-03,2.7409389572872864e-03
1.2181900828509304e+00,24,4.3527703538171644e-06,1.0596521238109938e-05
1.1956259439634087e+00,25,1.1155347745952886e-03,2.2117134319395832e-03
1.1974449209018820e+00,26,2.9300601753938582e-06,8.0138155748299299e-06
1.1784685909288743e+00,27,1.5184435788977448e-03,2.7401965296115129e-03
1.1808253937235467e+00,28,4.8353309269770202e-06,1.5672014770106936e-05
1.1659178445028520e+00,29,7.8853537330099833e-04,1.3713137581986814e-03
1.1671132208092847e+00,30,1.1505252427298543e-06,4.9205219873035291e-06
1.1549338597974403e+00,31,9.8081262398163433e-04,1.8549543097205901e-03
1.1562634693091218e+00,32,2.2331923281640091e-06,1.2598919148086993e-05
1.1464663429469217e+00,33,5.0028879561047051e-04,1.2028982346278970e-03
1.1470615504481221e+00,34,7.1906660290047893e-07,4.7798162423171264e-06
1.1384947637519238e+00,35,6.3795620917524317e-04,1.3933921221913580e-03
